sample_name,config_id,mode,entity,thickness,transmission,file_path
Cd,config_9,transmission,dark,1,,sans-llb2026n000974.nxs
EB,config_9,transmission,empty_beam,1,,sans-llb2026n000975.nxs
AgBe,config_9,transmission,sample,1,,sans-llb2026n000976.nxs
EC,config_9,transmission,empty_cell,1,,sans-llb2026n000977.nxs
H2O,config_9,transmission,water,1,,sans-llb2026n000978.nxs
ludox_AM20,config_9,transmission,sample,1,,sans-llb2026n000979.nxs
ludox_SM30,config_9,transmission,sample,1,,sans-llb2026n000980.nxs
ludox_TM50,config_9,transmission,sample,1,,sans-llb2026n000981.nxs
Cd,config_9,scattering,dark,1,,sans-llb2026n000982.nxs
EB,config_9,scattering,empty_beam,1,,sans-llb2026n000983.nxs
AgBe,config_9,scattering,sample,1,,sans-llb2026n000984.nxs
EC,config_9,scattering,empty_cell,1,,sans-llb2026n000985.nxs
H2O,config_9,scattering,water,1,,sans-llb2026n000986.nxs
ludox_AM20,config_9,scattering,sample,1,,sans-llb2026n000987.nxs
ludox_SM30,config_9,scattering,sample,1,,sans-llb2026n000988.nxs
ludox_TM50,config_9,scattering,sample,1,,sans-llb2026n000989.nxs
Cd,config_10,transmission,dark,1,,sans-llb2026n000990.nxs
EB,config_10,transmission,empty_beam,1,,sans-llb2026n000991.nxs
AgBe,config_10,transmission,sample,1,,sans-llb2026n000992.nxs
EC,config_10,transmission,empty_cell,1,,sans-llb2026n000993.nxs
H2O,config_10,transmission,water,1,,sans-llb2026n000994.nxs
ludox_AM20,config_10,transmission,sample,1,,sans-llb2026n000995.nxs
ludox_SM30,config_10,transmission,sample,1,,sans-llb2026n000996.nxs
ludox_TM50,config_10,transmission,sample,1,,sans-llb2026n000997.nxs
Cd,config_10,scattering,dark,1,,sans-llb2026n000998.nxs
EB,config_10,scattering,empty_beam,1,,sans-llb2026n000999.nxs
AgBe,config_10,scattering,sample,1,,sans-llb2026n001000.nxs
EC,config_10,scattering,empty_cell,1,,sans-llb2026n001001.nxs
H2O,config_10,scattering,water,1,,sans-llb2026n001002.nxs
ludox_AM20,config_10,scattering,sample,1,,sans-llb2026n001003.nxs
ludox_SM30,config_10,scattering,sample,1,,sans-llb2026n001004.nxs
ludox_TM50,config_10,scattering,sample,1,,sans-llb2026n001005.nxs